Links,Tags,Type
https://catalog.data.gov/dataset/?tags=dispute-resolution,Dispute Resolution,Open Data
https://catalog.data.gov/dataset?q=Civic+engagement+initiatives+&sort=views_recent+desc&ext_location=&ext_bbox=&ext_prev_extent=,Civic engagement initiatives,Open Data
https://catalog.data.gov/dataset?q=Civilian+police+reform,Civilian police reform,Open Data
https://catalog.data.gov/dataset?q=Conflict-focused+early+warning+systems,Conflict-focused early warning systems,Open Data
https://catalog.data.gov/dataset?q=Civil+society+capacity+building&sort=views_recent+desc&ext_location=&ext_bbox=&ext_prev_extent=,Civil society capacity building,Open Data
https://catalog.data.gov/dataset/?tags=improved-natural-resource-management,Community-based natural resource management,Open Data
https://catalog.data.gov/dataset/?tags=infrastructure,Infrastructure development and reconstruction,Open Data
https://catalog.data.gov/dataset?q=Justice+and+human+rights+support&sort=views_recent+desc&ext_location=&ext_bbox=&ext_prev_extent=,Justice and human rights support,Open Data
https://catalog.data.gov/dataset?q=Countering+violent+extremism&sort=views_recent+desc&ext_location=&ext_bbox=&ext_prev_extent=,Countering violent extremism,Open Data
https://catalog.data.gov/dataset?q=Transboundary+water+sharing&sort=views_recent+desc&ext_location=&ext_bbox=&ext_prev_extent=,Transboundary water sharing,Open Data 
https://catalog.data.gov/dataset?q=National+natural+resource+benefits+sharing&sort=views_recent+desc&ext_location=&ext_bbox=&ext_prev_extent=,National natural resource benefits sharing,Open Data
https://catalog.data.gov/dataset/?+Wellness=&res_format=DOC&publisher=Millennium+Challenge+Corporation&tags=policy-and-institutional-reform&tags=land-markets,Land reform,Open Data
https://catalog.data.gov/dataset/?tags=capacity-building,Civic society capacity building,Open Data
https://catalog.data.gov/dataset?q=Preventative+protection+measures&sort=views_recent+desc&ext_location=&ext_bbox=&ext_prev_extent=,Preventative protection measures,Open Data
https://catalog.data.gov/dataset/?q=Social+funds%2C+community-driven+development+and+reconstruction&sort=views_recent+desc&tags=capacity-building&ext_location=&ext_bbox=&ext_prev_extent=,"Social funds, community-driven development and reconstruction",Open Data
https://resources.data.gov/keywords/security/,Security sector reform,NA
https://data.gov/metrics/organization/eac-gov/,Support for elections,NA
https://andyreiter.com/datasets/,"Transitional justice processes
",NA
https://transitionaljusticedata.com/download.html,Transitional justice processes,NA
https://www.politicalsettlements.org/wp-content/uploads/2021/03/ijw012.pdf,Transitional justice processes,NA
https://www.census.gov/data/datasets/time-series/demo/cps/cps-supp_cps-repwgt/cps-civic.html,Civic Engagement,NA
