Title,URL of resource,Description,Year published,Resource Format (open data),Resource Format (tools and applications),Resource Format (case study),Resource type,Name of resource's point of contact,Organization of point of contact,Email of resource's point of contact,Social Inclusion Tags,Peace Processes,Safe Environments Tags,Civil Society Tags,State Institution Tags,Economic Foundations Tags
2024 Annual Technology Baseline (ATB) Cost and Performance Data for Electricity Generation Technologies,https://catalog.data.gov/dataset/2024-annual-technology-baseline-atb-cost-and-performance-data-for-electricity-generation-t,"These data provide the 2024 update of the Electricity Annual Technology Baseline (ATB). Starting in 2015 NREL has presented the ATB, consisting of detailed cost and performance data, both current and projected, for electricity generation and storage technologies. The ATB products now include data (Excel workbook, Tableau workbooks, and structured summary csv files), as well as documentation and user engagement via a website, presentation, and webinar. Starting in 2021, the data are cloud optimized and provided in the OEDI data lake. The data for 2015 - 2020 are can be found on the NREL Data Search Page. The website documentation can be found on the ATB Website.",2025,,,,Open Data,,National Renewable Energy Laboratory (NREL),brian.mirletz@nrel.gov,,,,Civic engagement initiatives,,
Voter Registration,https://catalog.data.gov/dataset/voter-registration-f2e6b,"This table contains data on the percent of adults (18 years or older) who are registered voters and the percent of adults who voted in general elections, for California, its regions, counties, cities/towns, and census tracts. Data is from the Statewide Database, University of California Berkeley Law, and the California Secretary of State, Elections Division. The table is part of a series of indicators in theHealthy Communities Data and Indicators Project of the Office of Health Equity.Political participation can be associated with the health of a community through two possible mechanisms: through the implementation of social policies or as an indirect measure of social capital. Disparities in political participation across socioeconomic groups can influence political outcomes and the resulting policies could have an impact on the opportunities available to the poor to live a healthy life. Lower representation of poorer voters could result in reductions of social programs aimed toward supporting disadvantaged groups. Although there is no direct evidentiary connection between voter registration or participation and health, there is evidence that populations with higher levels of political participation also have greater social capital. Social capital is defined as resources accessed by individuals or groups through social networks that provide a mutual benefit. Several studies have shown a positive association between social capital and lower mortality rates, and higher self- assessed health ratings. There is also evidence of a cycle where lower levels of political participation are associated with poor self-reported health, and poor self-reported health hinders political participation. More information about the data table and a data dictionary can be found in the About/Attachments section.",2024,,,,Open Data,,California Department of Public Health,OHE@cdph.ca.gov,,,,Civic engagement initiatives,,
2021 CEV Data: Current Population Survey Civic Engagement and Volunteering Supplement,https://catalog.data.gov/dataset/2021-cev-data-current-population-survey-civic-engagement-and-volunteering-supplement,"The Current Population Survey Civic Engagement and Volunteering (CEV) Supplement is the most robust longitudinal survey about volunteerism and other forms of civic engagement in the United States. Produced by AmeriCorps in partnership with the U.S. Census Bureau, the CEV takes the pulse of our nation’s civic health every two years. The data on this page was collected in September 2021.The CEV can generate reliable estimates at the national level, within states and the District of Columbia, and in the largest twelve Metropolitan Statistical Areas to support evidence-based decision making and efforts to understand how people make a difference in communities across the country.Click on ""Export"" to download and review an excerpt from the 2021 CEV Analytic Codebook that shows the variables available in the analytic CEV datasets produced by AmeriCorps.Click on ""Show More"" to download and review the following 2021 CEV data and resources provided as attachments:1) 2021 CEV Dataset Fact Sheet – brief summary of technical aspects of the 2021 CEV dataset.
2) CEV FAQs – answers to frequently asked technical questions about the CEV
3) Constructs and measures in the CEV
4) 2021 CEV Analytic Data and Setup Files – analytic dataset in Stata (.dta), R (.rdata), SPSS (.sav), and Excel (.csv) formats, codebook for analytic dataset, and Stata code (.do) to convert raw dataset to analytic formatting produced by AmeriCorps. These files were updated on January 16, 2025 to correct erroneous missing values for the ssupwgt variable.
5) 2021 CEV Technical Documentation – codebook for raw dataset and full supplement documentation produced by U.S. Census Bureau
6) Nonresponse Bias Analysis produced by U.S. Census Bureau
7) 2021 CEV Raw Data and Read In Files – raw dataset in Stata (.dta) format, Stata code (.do) and dictionary file (.dct) to read ASCII dataset (.dat) into Stata using layout files (.lis)",2025,,,,Open Data,,AmeriCorps Office of Research and Evaluation,AmeriCorpsCEV@americorps.gov,,,,Civic engagement initiatives,,
ForeignAssistance.gov,https://catalog.data.gov/dataset/foreignassistance-gov-509a4,"ForeignAssistance.gov is the U.S. government’s platform to advance the transparency, accessibility, and accountability of U.S. foreign assistance data. By publishing U.S. foreign assistance data that is accurate and timely, ForeignAssistance.gov presents a multi-dimensional picture of the U.S. foreign assistance lifecycle in a highly visual, interactive website.  The eight datasets herein are regularly updated on an approximate monthly basis.Designed to engage users across a wide range of backgrounds and levels of expertise, ForeignAssistance.gov empowers users to explore U.S. foreign assistance data through visualizations such as heatmaps, trends, bar charts, tree maps, and other graphs, while also providing the flexibility for users to create custom queries, download data, and conduct analyses by country, sector, or agency. Additionally, with the Development Cooperation Landscape dashboard, users may explore development activities in a country beyond what is provided by the U.S. government, as reported to the International Aid Transparency Initiative (IATI).ForeignAssistance.gov collects and publishes foreign assistance data as reported by more than 20 U.S. government agencies that manage foreign assistance programs. In doing so, ForeignAssistance.gov fulfills aid transparency standards and reporting requirements, including the Foreign Aid Transparency and Accountability Act of 2016 (FATAA), Foundations for Evidence-Based Policymaking Act, and Office of Management and Budget (OMB) Bulletin 12-01.The new, consolidated ForeignAssistance.gov is a product of the Foreign Assistance Data and Reporting Team (FA-DART), a joint initiative by the U.S. Department of State and the U.S. Agency for International Development.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,,,,Civic engagement initiatives,,
National Hydrography Data - NHD and 3DHP,https://catalog.data.gov/dataset/national-hydrography-dataset-nhd-0c127,"The USGS National Hydrography Dataset (NHD) Downloadable Data Collection from The National Map (TNM) is a comprehensive set of digital spatial data that encodes information about naturally occurring and constructed bodies of surface water (lakes, ponds, and reservoirs), paths through which water flows (canals, ditches, streams, and rivers), and related entities such as point features (springs, wells, stream gages, and dams). The information encoded about these features includes classification and other characteristics, delineation, geographic name, position and related measures, a ""reach code"" through which other information can be related to the NHD, and the direction of water flow. The network of reach codes delineating water and transported material flow allows users to trace movement in upstream and downstream directions. In addition to this geographic information, the dataset contains metadata that supports the exchange of future updates and improvements to the data. The NHD supports many applications, such as making maps, geocoding observations, flow modeling, data maintenance, and stewardship. For additional information on NHD, go tohttps://www.usgs.gov/core-science-systems/ngp/national-hydrography.DWR was the steward for NHD and Watershed Boundary Dataset (WBD) in California. We worked with other organizations to edit and improve NHD and WBD, using the business rules for California. California's NHD improvements were sent to USGS for incorporation into the national database. The most up-to-date products are accessible from the USGS website. Please note that the California portion of the National Hydrography Dataset is appropriate for use at the 1:24,000 scale.For additional derivative products and resources, including the major features in geopackage format, please go to this page:https://data.cnra.ca.gov/dataset/nhd-major-featuresArchives of previous statewide extracts of the NHD going back to 2018 may be found athttps://data.cnra.ca.gov/dataset/nhd-archive.In September 2022, USGS officially notified DWR that the NHD would become static as USGS resources will be devoted to the transition to the new 3D Hydrography Program (3DHP). 3DHP will consist of LiDAR-derived hydrography at a higher resolution than NHD. Upon completion, 3DHP data will be easier to maintain, based on a modern data model and architecture, and better meet the requirements of users that were documented in the Hydrography Requirements and Benefits Study (2016). The initial releases of 3DHP will be the NHD data cross-walked into the 3DHP data model. It will take several years for the 3DHP to be built out for California. Please refer to the resources on this page for more information.The FINAL,STATIC version of the National Hydrography Dataset for California was published for download by USGS on December 27, 2023. This dataset can no longer be edited by the state stewards.The first public release of the 3D Hydrography Program map service may be accessed athttps://hydro.nationalmap.gov/arcgis/rest/services/3DHP_all/MapServer.Questions about the California stewardship of these datasets may be directed to nhd_stewardship@water.ca.gov.",2024,,,,Open Data,,California Department of Water Resources,Jane.Schafer-Kramer@water.ca.gov,,,,Civic engagement initiatives,,
Technology Access and Adoption Survey 2018,https://catalog.data.gov/dataset/technology-access-and-adoption-survey-2018-79032,"Responses from 4315 Seattle residents to a comprehensive survey about access to broadband internet, devices ownership, online activities, digital skill levels, concerns and barriers to use, and civic engagement preferences. See summary report, interactive dashboard and data use instructions athttp://seattle.gov/2018techsurvey. The code-book of labels and instructions about applying weights should be used with this data. Available in Excel workbook format here:http://seattle.gov/Documents/Departments/Tech/2018Codebook.xlsx",2025,,,,Open Data,,data.seattle.gov,open.data@seattle.gov,,,,Civic engagement initiatives,,
2023 CEV Data: Current Population Survey Civic Engagement and Volunteering Supplement,https://catalog.data.gov/dataset/2023-cev-data-current-population-survey-civic-engagement-and-volunteering-supplement,"The Current Population Survey Civic Engagement and Volunteering (CEV) Supplement is the most robust longitudinal survey about volunteerism and other forms of civic engagement in the United States. Produced by AmeriCorps in partnership with the U.S. Census Bureau, the CEV takes the pulse of our nation’s civic health every two years. The data on this page was collected in September 2023. The next wave of the CEV will be administered in September 2025.The CEV can generate reliable estimates at the national level, within states and the District of Columbia, and in the largest twelve Metropolitan Statistical Areas to support evidence-based decision making and efforts to understand how people make a difference in communities across the country.Click on ""Export"" to download and review an excerpt from the 2023 CEV Analytic Codebook that shows the variables available in the analytic CEV datasets produced by AmeriCorps.Click on ""Show More"" to download and review the following 2023 CEV data and resources provided as attachments:1) 2023 CEV Dataset Fact Sheet – brief summary of technical aspects of the 2023 CEV dataset.
2) CEV FAQs – answers to frequently asked technical questions about the CEV
3) Constructs and measures in the CEV
4) 2023 CEV Analytic Data and Setup Files – analytic dataset in Stata (.dta), R (.rdata), SPSS (.sav), and Excel (.csv) formats, codebook for analytic dataset, and Stata code (.do) to convert raw dataset to analytic formatting produced by AmeriCorps. These files were updated on January 16, 2025 to correct erroneous missing values for the ssupwgt variable.
5) 2023 CEV Technical Documentation – codebook for raw dataset and full supplement documentation produced by U.S. Census Bureau
6) 2023 CEV Raw Data and Read In Files – raw dataset in Stata (.dta) format, Stata code (.do) and dictionary file (.dct) to read ASCII dataset (.dat) into Stata using layout files (.lis)",2025,,,,Open Data,,AmeriCorps Office of Research and Evaluation,AmeriCorpsCEV@americorps.gov,,,,Civic engagement initiatives,,
USAID Public-Private Partnerships Database,https://catalog.data.gov/dataset/usaid-public-private-partnerships-database,"This data asset brings together information collected since 2001 on Public Private Partnerships (PPPs) that have been supported by USAID. For the purposes of this dataset a PPP is defined as a USAID-supported development project or initiative which engages the private sector (including corporations, foundations, and other non-governmental actors) as a core resource partner. Due to changes in Agency data collection systems, standards, and internal organization, the data has been collected according to different mechanisms, definitions, and timeframes from 2001-2015, and therefore cannot be considered to be comprehensive of all PPPs during this period.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,,,,Civic engagement initiatives,,
2023 Annual Technology Baseline (ATB) Cost and Performance Data for Electricity Generation Technologies,https://catalog.data.gov/dataset/2023-annual-technology-baseline-atb-cost-and-performance-data-for-electricity-generation-t,"These data provide the 2023 update of the Electricity Annual Technology Baseline (ATB). Starting in 2015 NREL has presented the ATB, consisting of detailed cost and performance data, both current and projected, for electricity generation and storage technologies. The ATB products now include data (Excel workbook, Tableau workbooks, and structured summary csv files), as well as documentation and user engagement via a website, presentation, and webinar. Starting in 2021, the data are cloud optimized and provided in the OEDI data lake. The data for 2015 - 2020 are can be found on the NREL Data Search Page. The website documentation can be found on the ATB Website.",2024,,,,Open Data,,National Renewable Energy Laboratory (NREL),brian.mirletz@nrel.gov,,,,Civic engagement initiatives,,
Boundaries: City of Austin Council Districts,https://catalog.data.gov/dataset/boundaries-city-of-austin-council-districts,"This data asset provides the geographic boundaries the City of Austin's City Council Districts, including detailed district shapes and associated geographic coordinates. It is essential for understanding political representation and local governance within the city. By offering this data, we empower city planners, policy analysts, community organizers, and businesses to make informed decisions related to electoral boundaries, public services, and district-level analysis. It also supports more effective civic engagement and resource allocation by helping stakeholders identify key areas of influence and need across the city's council districts.Terms of Use
This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. This product has been produced by the City of Austin for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.",2025,,,,Open Data,,data.austintexas.gov,no-reply@data.austintexas.gov,,,,Civic engagement initiatives,,
